,activation,dataset_size,width,test_accuracy,test_mse,training_accuracy
0,tanh,20,5,0.2809999883174896,0.11671330833435059,0.800000011920929
1,tanh,20,10,0.30300000309944153,0.11370375192165375,1.0
2,tanh,20,50,0.3709999918937683,0.11207720625400543,1.0
3,tanh,20,100,0.3790000081062317,0.13334464347362518,1.0
4,tanh,20,500,0.33799999952316284,0.18533177947998047,0.949999988079071
5,tanh,20,1000,0.3009999990463257,0.21043318033218383,1.0
6,tanh,100,5,0.4269999861717224,0.09851820427179336,0.8899999856948853
7,tanh,100,10,0.492000013589859,0.08337068927288055,1.0
8,tanh,100,50,0.5989999771118164,0.0806194132566452,0.9900000095367432
9,tanh,100,100,0.5370000004768372,0.0849473557472229,1.0
10,tanh,100,500,0.5529999732971191,0.10059364020824432,1.0
11,tanh,100,1000,0.5049999952316284,0.10298768639564514,0.9900000095367432
12,tanh,250,5,0.5590000152587891,0.07322742938995361,0.8560000061988831
13,tanh,250,10,0.6570000052452087,0.07005481979250908,1.0
14,tanh,250,50,0.6980000138282776,0.05832767930626869,1.0
15,tanh,250,100,0.6980000138282776,0.061282907962799074,1.0
16,tanh,250,500,0.6690000295639038,0.06728123795986175,1.0
17,tanh,250,1000,0.6480000019073486,0.07301990723609925,1.0
18,tanh,500,5,0.5460000038146973,0.0704775505065918,0.7440000176429749
19,tanh,500,10,0.7670000195503235,0.04560421079397201,1.0
20,tanh,500,50,0.8100000023841858,0.04188930088281632,1.0
21,tanh,500,100,0.8080000281333923,0.04390010431408882,1.0
22,tanh,500,500,0.7260000109672546,0.05928961789608002,1.0
23,tanh,500,1000,0.7350000143051147,0.0628396836221218,1.0
24,tanh,1000,5,0.47699999809265137,0.06429452741146088,0.6380000114440918
25,tanh,1000,10,0.7630000114440918,0.041899696141481396,0.9990000128746033
26,tanh,1000,50,0.8709999918937683,0.030219314128160476,1.0
27,tanh,1000,100,0.8579999804496765,0.031178525134921073,0.9990000128746033
28,tanh,1000,500,0.8500000238418579,0.03682873177528381,1.0
29,tanh,1000,1000,0.8640000224113464,0.03479205805063248,1.0
30,relu,20,5,0.24799999594688416,0.08643284916877747,0.4000000059604645
31,relu,20,10,0.3100000023841858,0.0900140163898468,1.0
32,relu,20,50,0.32499998807907104,0.08167007583379746,1.0
33,relu,20,100,0.335999995470047,0.08843331599235535,1.0
34,relu,20,500,0.4009999930858612,0.09035836124420166,1.0
35,relu,20,1000,0.3230000138282776,0.09230713009834289,0.8500000238418579
36,relu,100,5,0.24300000071525574,0.10082484251260758,0.6800000071525574
37,relu,100,10,0.4189999997615814,0.09165891015529633,0.9900000095367432
38,relu,100,50,0.5569999814033508,0.07194106429815292,1.0
39,relu,100,100,0.597000002861023,0.06313132953643799,1.0
40,relu,100,500,0.6240000128746033,0.05781879964470863,1.0
41,relu,100,1000,0.6669999957084656,0.05009909299015999,1.0
42,relu,250,5,0.48100000619888306,0.07415167987346649,0.8320000171661377
43,relu,250,10,0.5820000171661377,0.0709853113591671,0.9240000247955322
44,relu,250,50,0.746999979019165,0.04563772517442703,1.0
45,relu,250,100,0.7350000143051147,0.04518005523085594,1.0
46,relu,250,500,0.753000020980835,0.042211670219898224,1.0
47,relu,250,1000,0.7699999809265137,0.03919223603606224,1.0
48,relu,500,5,0.43299999833106995,0.06673064225912094,0.5419999957084656
49,relu,500,10,0.6299999952316284,0.06403204545378685,0.9940000176429749
50,relu,500,50,0.8429999947547913,0.03340834492444992,1.0
51,relu,500,100,0.8399999737739563,0.03411582952737808,1.0
52,relu,500,500,0.8659999966621399,0.028906451642513275,1.0
53,relu,500,1000,0.8700000047683716,0.02583179369568825,1.0
54,relu,1000,5,0.4519999921321869,0.06761127972602844,0.5299999713897705
55,relu,1000,10,0.6800000071525574,0.050582668364048004,0.9049999713897705
56,relu,1000,50,0.8619999885559082,0.0266263889670372,1.0
57,relu,1000,100,0.8859999775886536,0.024571446865797042,1.0
58,relu,1000,500,0.8960000276565552,0.021387634962797164,1.0
59,relu,1000,1000,0.8939999938011169,0.020140002772212028,1.0
